FREQ	Frequency	REF_AREA	Territory	DATA_TYPE	Indicator	MEASURE	Measure (DESC)	TIME_PERIOD	Observation	OBS_STATUS	Observation status
A	Annual	IT	Italy	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2022	41160		
A	Annual	IT	Italy	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2023	40181		
A	Annual	IT	Italy	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2022	70.2		
A	Annual	IT	Italy	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2023	68.7		
A	Annual	IT	Italy	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2022	23707		
A	Annual	IT	Italy	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2023	23657		
A	Annual	IT	Italy	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2022	40.4		
A	Annual	IT	Italy	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2023	40.5		
A	Annual	IT	Italy	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2022	12605		
A	Annual	IT	Italy	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2023	12168		
A	Annual	IT	Italy	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2022	21.5		
A	Annual	IT	Italy	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2023	20.8		
A	Annual	IT	Italy	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2022	10590		
A	Annual	IT	Italy	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2023	10148		
A	Annual	IT	Italy	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2022	44.7		
A	Annual	IT	Italy	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2023	42.9		
A	Annual	IT	Italy	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2022	3888		
A	Annual	IT	Italy	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2023	3668		
A	Annual	IT	Italy	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2022	6.6		
A	Annual	IT	Italy	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2023	6.3		
A	Annual	IT	Italy	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2022	10895		
A	Annual	IT	Italy	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2023	11068		
A	Annual	IT	Italy	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2022	18.6		
A	Annual	IT	Italy	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2023	18.9		
A	Annual	IT	Italy	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2022	3664		
A	Annual	IT	Italy	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2023	3573		
A	Annual	IT	Italy	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2022	6.2		
A	Annual	IT	Italy	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2023	6.1		
A	Annual	IT	Italy	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2022	8726		
A	Annual	IT	Italy	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2023	8564		
A	Annual	IT	Italy	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2022	14.9		
A	Annual	IT	Italy	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2023	14.6		
A	Annual	IT	Italy	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2022	4622		
A	Annual	IT	Italy	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2023	4477		
A	Annual	IT	Italy	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2022	7.9		
A	Annual	IT	Italy	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2023	7.7		
A	Annual	IT	Italy	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2022	2489		
A	Annual	IT	Italy	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2023	2505		
A	Annual	IT	Italy	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2022	4.2		
A	Annual	IT	Italy	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2023	4.3		
A	Annual	IT	Italy	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	THV	Thousands value	2022	6876		
A	Annual	IT	Italy	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	THV	Thousands value	2023	6363		
A	Annual	IT	Italy	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	HSC	Per 100 people with the same characteristics	2022	11.7		
A	Annual	IT	Italy	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	HSC	Per 100 people with the same characteristics	2023	10.9		
A	Annual	IT	Italy	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	THV	Thousands value	2022	2763		
A	Annual	IT	Italy	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	THV	Thousands value	2023	2725		
A	Annual	IT	Italy	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	HSC	Per 100 people with the same characteristics	2022	4.7		
